.,English
EventPlaceTiles1_Entrance.text,"Place the Entrance, 21B and one door as shown.\n\nPlace the heroes on the Entrance.\n\n(The objective tokens located near the Entrance are for special rules.)"
Spawn21BInitialCaveSpider.text,"<i>The invasion vanguard is crossing the moat!</i>\n\nPlace the {type} group on 21B as shown."
Spawn21BInitialCaveSpider.button1,Continue
Spawn21BInitialCarrionDrake.text,"<i>The invasion vanguard is crossing the moat!</i>\n\nPlace the {type} group on 21B as shown."
Spawn21BInitialCarrionDrake.button1,Continue
Spawn21BInitialChangeling.text,"<i>The invasion vanguard is crossing the moat!</i>\n\nPlace the {type} group on 21B as shown."
Spawn21BInitialChangeling.button1,Continue
Spawn21BInitialFerrox.text,"<i>The invasion vanguard is crossing the moat!</i>\n\nPlace the {type} group on 21B as shown."
Spawn21BInitialFerrox.button1,Continue
EventSpawn5BInitial.button1,Button1
Spawn5BInitialEttin.text,"<i>Something large and imposing reponds to your presence!</i>\n\nPlace the {type} group on 5B as shown."
Spawn5BInitialEttin.button1,Continue
Spawn5BInitialArachyura.text,"<i>Something large and imposing reponds to your presence!</i>\n\nPlace the {type} group on 5B as shown."
Spawn5BInitialArachyura.button1,Continue
Spawn5BInitialChaosBeast.text,"<i>Something large and imposing reponds to your presence!</i>\n\nPlace the {type} group on 5B as shown."
Spawn5BInitialChaosBeast.button1,Continue
Spawn5BInitialNaga.button1,Continue
TokenArmoredPriestsInfo.button1,Continue
Spawn5BInitialNaga.text,"<i>Something large and imposing reponds to your presence!</i>\n\nPlace the {type} group on 5B as shown."
UIIntro2Rumor.uitext,|||<i>"They're here again!  And those damned priests are leading them this time!"\n\nCaptain Jahrohd's shouts to his men echo through the barracks where you've joined the guards.  He turns to you.\n\n"You all came here to help, right?  Well, here's your chance.  Help us barricade the gate.  I just hope my men sealed off those tunnels well enough after last time."  There is a tone of severe desperation in his voice.</i>|||
EventPlace16B19BObjectiveTokens.text,"<i>You notice more piles of rubble in the area.</i>\n\nPlace four objective tokens from your play area facedown as shown.\n<b>Do not reveal the color of the objective tokens.</b>"
